4.215	4.821	1.544	0.92	-3.842	-4.651	0.522	4.672	-0.047	-5.759	-7.094	-2.82	-1.125	1.054	-0.304	-4.824	10.089	4.533	4.82	7.743	9.428	2.354	1.311	-2.109	-3.135	-2.957	0.595	-3.274	-7.193	-1.187	-5.362	-2.939
-0.301	-0.306	-3.432	-1.349	-1.968	-1.682	-0.449	7.38	2.003	-1.397	-0.362	3.153	-0.116	0.963	-0.252	-0.661	3.522	1.698	0.529	3.159	0.892	-1.993	-0.097	-0.172	0.044	-1.066	0.215	-0.714	-1.066	-2.771	-1.389	-2.015
-2.963	-3.713	-4.554	-2.479	-0.213	-0.771	0.391	3.524	1.517	3.362	3.064	2.358	0.941	1.902	-0.045	4.383	-4.52	-2.872	-2.878	-0.997	-7.152	-4.684	0.038	1.799	0.818	2.35	1.387	3.12	3.458	0.247	2.475	0.707
-3.703	-3.088	-2.916	-2.191	0.774	2.242	-0.014	-1.293	-0.519	4.501	2.779	-0.946	-0.17	1.444	0.501	4.114	-7.472	-1.967	-2.621	-2.183	-9.378	-5.287	1.296	5.075	2.066	-1.155	1.785	5.336	5.096	1.212	4.14	2.543
-5.755	-4.516	-4.329	-3.871	2.043	3.682	-3.649	-3.635	-3.424	1.819	4.371	-1.016	-2.73	-0.736	2.027	0.476	-7.429	0.777	-2.363	-4.115	-5.611	-0.814	-1.521	3.046	5.484	3.021	3.665	3.05	8.391	2.193	6.583	4.884
-6.01	-5.417	-5.287	-3.132	3.506	-0.005	-5.558	-2.749	-5.393	-0.992	4.181	-1.62	-2.759	-0.962	3.21	-1.49	-5.855	2.063	-1.729	-5.502	0.516	4.494	-3.452	-2.696	4.146	12.024	5.12	-2.688	8.575	4.233	6.475	4.753
-1.758	-1.706	-1.454	0.535	3.256	1.111	-3.493	-5.391	-4.841	-0.959	1.323	-3.626	-2.497	-1.873	0.722	-1.218	-3.165	5.784	2.639	-1.67	3.752	5.015	2.155	-0.698	1.246	6.066	1.312	-4.781	3.836	-0.348	1.919	-1.195
0.45	0.403	0.85	-1.537	1.066	6.656	-2.879	-9.137	-4.036	1.58	1.309	-4.455	-3.386	-4.15	-1.67	1.113	-3.307	7.616	4.826	1.512	0.75	3.267	6.203	5.963	3.163	-4.057	-2.622	0.008	2.852	-6.067	1.055	-3.339
-3.056	-1.495	-0.621	-6.978	-0.28	7.298	-3.18	-4.746	-2.929	4.989	2.595	-4.204	-1.106	-2.62	0.234	4.557	-5.539	2.725	1.896	-0.623	-6.073	-0.318	4.426	7.677	4.913	-5.784	-2.105	5.67	5.821	-5.904	3.83	0.928
-4.192	-2.362	-0.199	-5.777	1.794	7.005	-1.069	-3.853	-1.297	5.994	2.843	-3.39	0.647	0	0.917	4.606	-5.119	0.622	0.953	-2.866	-9.37	-3.124	3.283	5.84	4.623	-5.912	-1.37	5.843	6.721	-6.122	3.408	0.924
-1.805	-3.974	-1.321	-2.478	5.509	7.015	-2.09	-10.29	-2.092	1.731	5.305	-0.547	-2.133	-0.94	-1.844	0.578	-3.711	5.549	1.444	-3.729	-5.109	1.92	-0.195	2.806	5.678	0.374	-1.071	1.288	7.877	-5.496	3.418	-1.666
-2.4	-6.53	-4.791	-2.181	5.973	1.466	-5.643	-4.668	-2.041	-4.399	7.41	4.591	-1.639	-0.789	-1.916	-2.878	-3.103	6.923	-1.351	-4.096	1.972	7.496	-6.792	-2.368	3.83	9.454	-0.325	-4.141	7.811	-0.364	5.021	0.47
-0.417	-1.921	-0.005	2.817	3.633	-2.558	-2.335	7.173	3.12	-5.563	5.217	8.072	3.571	2.025	0.076	-4.095	-0.571	1.704	-3.494	-2.857	4.407	3.221	-8.76	-7.29	-3.298	5.734	-2.327	-8.704	0.218	0.485	1.358	1.363
5.732	4.936	6.983	8.794	3.441	0.621	4.014	7.364	7.079	-0.91	3.978	7.763	5.666	2.443	-1.115	-3.034	1.409	-2.784	-3.544	-3.326	1.253	-3.13	-8.401	-7.851	-7.772	0.987	-4.69	-9.721	-6.852	-3.012	-3.919	-2.403
4.636	2.575	2.974	4.566	2.523	1.221	4.075	4.858	5.023	3.075	4.363	5.866	4.871	2.189	-1.616	0.518	0.495	-4.736	-4.411	-4.499	-1.152	-4.022	-8.126	-3.839	-5.805	3.507	-2.816	-4.784	-5.075	-0.428	-3.363	-2.661
0.553	-0.889	-1.344	-0.118	-3.527	-5.614	1.668	4.941	2.584	1.805	-0.626	2.981	4.081	4.925	3.075	2.243	2.918	-6.068	-4.007	-0.394	1.84	-3.183	-3.232	-1.755	-3.853	-1.082	0.24	0.652	-4.323	4.835	-1.514	2.186
3.699	2.931	1.954	4.599	-7.58	-12.213	1.763	2.836	3.329	-1.132	-7.718	0.343	2.133	5.617	6.089	-0.014	9.786	-6.231	-1.911	4.615	6.895	-1.689	1.324	-4.426	-5.263	-5.855	1.363	1.143	-9.546	4.218	-3.978	2.915
